 id sex job religion edu amount salary
 1 m  1  1  3   7.0   110
 2 m  2  1  4  12.0   135
 3 f  2  3  5   8.5   127
 4 f  3  3  5   5.0   150
 5 m  1  3  3   4.5   113
 6 m  2  1  2   3.5    95
 7 m  3  2  4   4.0   102
 8 f  3  2  4   4.0   122
 9 f  2  3  4   4.5   110
10 m  1  3  5  17.0   200
11 f  1  1  3  22.0    -9
12 m  2  1  2   5.5   105
13 m  3  2  1   4.5   130
14 m  3  2  5   7.0   150
15 m -9  3  4   6.0   110
16 f  1  3 -9   7.0    88
17 m  1  1  4   6.0   138
18 f  2  1  5   5.0   110
19 m  2  3  3   7.0    85
20 m  3  3  4   9.5   110
21 m  3  1  4  10.0    95
22 m  3  2  3  12.0    88
