경도   위도  시도 이산화황 오존농도 이산화질소 미세먼지농도
126.98 37.53 서울 0.008    0.008    0.044      64
129.03 35.06 부산 0.006    0.018    0.024      50
128.55 35.82 대구 0.009    0.012    0.028      56
126.68 37.48 인천 0.009    0.014    0.031      71
126.84 35.15 광주 0.007    0.011    0.033      65
127.36 36.30 대전 0.006    0.009    0.025      54
129.39 35.54 울산 0.006    0.018    0.024      40
126.61 35.58 군산 0.007    0.018    0.018      50
127.44 34.75 여수 0.010    0.020    0.016      44
126.42 34.78 목포 0.006    0.021    0.009      53
129.40 36.03 포항 0.009    0.024    0.025      53
126.55 33.46 제주 0.006    0.032    0.016      49
